filename,label
t1152889564.947042_x0.200000_y-0.000000_a0.000000.jpeg,CR-A
t1152889565.151057_x0.204955_y0.000312_a0.001534.jpeg,CR-A
t1152889565.355069_x0.233438_y0.000852_a0.003902.jpeg,CR-A
t1152889565.559082_x0.282878_y0.002499_a0.010343.jpeg,CR-A
t1152889565.763094_x0.335355_y0.003820_a0.013785.jpeg,CR-A
t1152889565.967108_x0.375573_y0.005617_a0.017789.jpeg,CR-A
t1152889566.171252_x0.400498_y0.005766_a0.016407.jpeg,CR-A
t1152889566.375131_x0.427284_y0.005968_a0.014597.jpeg,CR-A
t1152889566.579144_x0.496211_y0.004716_a0.013297.jpeg,CR-A
t1152889566.783376_x0.535334_y0.005438_a0.013036.jpeg,CR-A
t1152889566.987170_x0.566771_y0.001377_a0.011722.jpeg,CR-A
t1152889567.191183_x0.616935_y-0.000381_a0.008437.jpeg,CR-A
t1152889567.395195_x0.667071_y-0.000345_a0.006721.jpeg,CR-A
t1152889567.599210_x0.697021_y-0.012008_a-0.003004.jpeg,CR-A
t1152889567.803223_x0.745895_y-0.023337_a-0.014627.jpeg,CR-A
t1152889568.007236_x0.777821_y-0.031337_a-0.016470.jpeg,CR-A
t1152889568.211246_x0.790695_y-0.039932_a-0.015024.jpeg,CR-A
t1152889568.415259_x0.816283_y-0.042875_a-0.015272.jpeg,CR-A
t1152889568.619284_x0.865248_y-0.049086_a-0.015489.jpeg,CR-A
t1152889568.823288_x0.913609_y-0.054449_a-0.013173.jpeg,CR-A
t1152889569.027298_x0.963564_y-0.055760_a-0.014981.jpeg,CR-A
t1152889569.231311_x1.010730_y-0.060982_a-0.015692.jpeg,CR-A
t1152889569.435325_x1.058723_y-0.065075_a-0.015468.jpeg,CR-A
t1152889569.639335_x1.107413_y-0.065618_a-0.016873.jpeg,CR-A
t1152889569.843349_x1.155731_y-0.064100_a-0.017967.jpeg,CR-A
t1152889570.047362_x1.204923_y-0.069894_a-0.020456.jpeg,CR-A
t1152889570.251398_x1.262933_y-0.070320_a-0.020934.jpeg,CR-A
t1152889570.455585_x1.311645_y-0.073182_a-0.022728.jpeg,CR-A
t1152889570.659400_x1.362408_y-0.081102_a-0.024494.jpeg,CR-A
t1152889570.863412_x1.384678_y-0.083707_a-0.022776.jpeg,CR-A
t1152889571.067523_x1.435241_y-0.084690_a-0.022677.jpeg,CR-A
t1152889571.271437_x1.485314_y-0.089280_a-0.021270.jpeg,CR-A
t1152889571.475450_x1.534752_y-0.089775_a-0.022090.jpeg,CR-A
t1152889571.679464_x1.572683_y-0.092563_a-0.027147.jpeg,CR-A
t1152889571.883477_x1.623370_y-0.095803_a-0.028517.jpeg,CR-A
t1152889572.087677_x1.673835_y-0.095029_a-0.034421.jpeg,CR-A
t1152889572.291505_x1.731545_y-0.094587_a-0.035762.jpeg,CR-A
t1152889572.495515_x1.780759_y-0.096408_a-0.036051.jpeg,CR-A
t1152889572.699567_x1.846689_y-0.100077_a-0.041030.jpeg,CR-A
t1152889572.903548_x1.888641_y-0.097600_a-0.042985.jpeg,CR-A
t1152889573.107553_x1.913966_y-0.099173_a-0.044603.jpeg,CR-A
t1152889573.311569_x1.962949_y-0.102750_a-0.047969.jpeg,CR-A
t1152889573.515579_x2.009628_y-0.105719_a-0.049036.jpeg,CR-A
t1152889573.719594_x2.050190_y-0.109859_a-0.048070.jpeg,CR-A
t1152889573.923610_x2.103358_y-0.115071_a-0.049591.jpeg,CR-A
t1152889574.127617_x2.162414_y-0.121282_a-0.046004.jpeg,CR-A
t1152889574.331653_x2.211027_y-0.124569_a-0.048321.jpeg,CR-A
t1152889574.535640_x2.259834_y-0.127741_a-0.046160.jpeg,CR-A
t1152889574.739769_x2.319117_y-0.131237_a-0.050014.jpeg,CR-A
t1152889574.943668_x2.364875_y-0.127521_a-0.053598.jpeg,CR-A
t1152889575.147681_x2.417198_y-0.130834_a-0.054534.jpeg,CR-A
t1152889575.351889_x2.438532_y-0.132393_a-0.058424.jpeg,CR-A
t1152889575.555706_x2.483914_y-0.134658_a-0.067038.jpeg,CR-A
t1152889575.759718_x2.528697_y-0.137494_a-0.063819.jpeg,CR-A
t1152889575.963922_x2.576129_y-0.142549_a-0.070615.jpeg,CR-A
t1152889576.167744_x2.625816_y-0.146876_a-0.071206.jpeg,CR-A
t1152889576.371954_x2.679244_y-0.152622_a-0.072678.jpeg,CR-A
t1152889576.575769_x2.730969_y-0.153398_a-0.067778.jpeg,CR-A
t1152889576.779783_x2.781202_y-0.157570_a-0.073714.jpeg,CR-A
t1152889576.983795_x2.836208_y-0.161039_a-0.074188.jpeg,CR-A
t1152889577.187814_x2.879195_y-0.164589_a-0.079155.jpeg,CR-A
t1152889577.391821_x2.928836_y-0.168567_a-0.077534.jpeg,CR-A
t1152889577.595834_x2.984648_y-0.173776_a-0.081987.jpeg,CR-A
t1152889577.799847_x3.009292_y-0.176419_a-0.080306.jpeg,CR-A
t1152889578.003860_x3.055251_y-0.180679_a-0.083168.jpeg,CR-A
t1152889578.207873_x3.108141_y-0.184476_a-0.079996.jpeg,CR-A
t1152889578.411909_x3.167489_y-0.190035_a-0.082135.jpeg,CR-A
t1152889578.615897_x3.209211_y-0.192818_a-0.079341.jpeg,CR-A
t1152889578.819913_x3.258235_y-0.197815_a-0.082880.jpeg,CR-A
t1152889579.023926_x3.321857_y-0.202476_a-0.080120.jpeg,CR-A
t1152889579.227938_x3.359869_y-0.224718_a-0.084869.jpeg,CR-A
t1152889579.431948_x3.399681_y-0.228624_a-0.087347.jpeg,CR-A
t1152889579.636062_x3.447709_y-0.232572_a-0.086204.jpeg,CR-A
t1152889579.839973_x3.498700_y-0.239189_a-0.096184.jpeg,CR-A
t1152889580.043986_x3.527958_y-0.245370_a-0.111300.jpeg,CR-A
t1152889580.247998_x3.581044_y-0.252892_a-0.117659.jpeg,CR-A
t1152889580.452013_x3.633754_y-0.259313_a-0.119035.jpeg,CR-A
t1152889580.656025_x3.688201_y-0.266232_a-0.120351.jpeg,CR-A
t1152889580.860229_x3.737251_y-0.272750_a-0.122685.jpeg,CR-A
t1152889581.064049_x3.795844_y-0.283510_a-0.139062.jpeg,CR-A
t1152889581.268255_x3.846423_y-0.309671_a-0.222580.jpeg,CR-A
t1152889581.472083_x3.897371_y-0.331961_a-0.269049.jpeg,CR-A
t1152889581.676090_x3.940618_y-0.342204_a-0.260556.jpeg,PA-A
t1152889581.880101_x3.982096_y-0.352572_a-0.257399.jpeg,PA-A
t1152889582.084113_x4.026130_y-0.362972_a-0.252624.jpeg,PA-A
t1152889582.288127_x4.068565_y-0.370847_a-0.236752.jpeg,PA-A
t1152889582.492162_x4.105122_y-0.372511_a-0.205247.jpeg,PA-A
t1152889582.696151_x4.169095_y-0.370920_a-0.140304.jpeg,PA-A
t1152889582.900225_x4.212548_y-0.382604_a-0.129663.jpeg,PA-A
t1152889583.104178_x4.263527_y-0.396248_a-0.127704.jpeg,PA-A
t1152889583.308192_x4.322419_y-0.406433_a-0.138482.jpeg,PA-A
t1152889583.512204_x4.373417_y-0.413827_a-0.139329.jpeg,PA-A
t1152889583.716216_x4.428973_y-0.429559_a-0.144424.jpeg,PA-A
t1152889583.920317_x4.476153_y-0.435891_a-0.142410.jpeg,PA-A
t1152889584.124244_x4.531857_y-0.444084_a-0.143120.jpeg,PA-A
t1152889584.328253_x4.584000_y-0.453158_a-0.147657.jpeg,PA-A
t1152889584.532269_x4.637492_y-0.464046_a-0.160719.jpeg,PA-A
t1152889584.736279_x4.661542_y-0.470291_a-0.171378.jpeg,PA-A
t1152889584.940294_x4.716145_y-0.485380_a-0.199740.jpeg,PA-A
t1152889585.144306_x4.799966_y-0.532665_a-0.291013.jpeg,PA-A
t1152889585.348317_x4.859885_y-0.564160_a-0.372266.jpeg,PA-A
t1152889585.552332_x4.897080_y-0.589752_a-0.415116.jpeg,PA-A
t1152889585.756350_x4.926852_y-0.604078_a-0.416307.jpeg,PA-A
t1152889585.960356_x4.964917_y-0.647882_a-0.526370.jpeg,PA-A
t1152889586.164562_x5.012309_y-0.705295_a-0.651553.jpeg,PA-A
t1152889586.368381_x5.048100_y-0.743089_a-0.687263.jpeg,PA-A
t1152889586.572418_x5.074476_y-0.770317_a-0.698209.jpeg,PA-A
t1152889586.776507_x5.113374_y-0.807364_a-0.716565.jpeg,PA-A
t1152889586.980625_x5.124318_y-0.830910_a-0.765392.jpeg,PA-A
t1152889587.184433_x5.133734_y-0.891533_a-0.930040.jpeg,PA-A
t1152889587.388445_x5.127807_y-0.952449_a-1.111744.jpeg,PA-A
t1152889587.592458_x5.133333_y-1.003956_a-1.188210.jpeg,PA-A
t1152889587.796470_x5.153784_y-1.055595_a-1.192699.jpeg,PA-A
t1152889588.000485_x5.166934_y-1.105327_a-1.231899.jpeg,PA-A
t1152889588.204497_x5.175238_y-1.160987_a-1.295610.jpeg,PA-A
t1152889588.408509_x5.177908_y-1.219320_a-1.367091.jpeg,PA-A
t1152889588.612522_x5.193107_y-1.274179_a-1.367673.jpeg,PA-A
t1152889588.816535_x5.206362_y-1.329320_a-1.365622.jpeg,PA-A
